"Date","Price","Open","High","Low","Change %"
"04/29/2024","5.370","5.403","5.403","5.382","-0.29%"
"04/28/2024","5.386","5.386","5.386","5.386","0.29%"
"04/26/2024","5.370","5.406","5.483","5.381","0.19%"
"04/25/2024","5.360","5.414","5.480","5.370","-0.26%"
"04/24/2024","5.374","5.428","5.491","5.383","-0.15%"
"04/23/2024","5.382","5.434","5.497","5.394","0.02%"
"04/22/2024","5.381","5.411","5.411","5.393","0.06%"
"04/19/2024","5.378","5.416","5.416","5.393","0.00%"
"04/18/2024","5.378","5.422","5.485","5.393","-0.02%"
"04/17/2024","5.379","5.451","5.483","5.389","-0.02%"
"04/16/2024","5.380","5.454","5.471","5.389","-0.02%"
"04/15/2024","5.381","5.405","5.405","5.385","0.11%"
"04/12/2024","5.375","5.380","5.411","5.380","-0.06%"
"04/11/2024","5.378","5.406","5.490","5.388","0.04%"
"04/10/2024","5.376","5.394","5.470","5.381","0.17%"
"04/09/2024","5.367","5.395","5.423","5.377","0.04%"
"04/08/2024","5.365","5.398","5.398","5.377","0.04%"
"04/05/2024","5.363","5.393","5.393","5.373","0.15%"
"04/04/2024","5.355","5.409","5.457","5.367","-0.17%"
"04/03/2024","5.364","5.423","5.501","5.376","-0.15%"
"04/02/2024","5.372","5.418","5.499","5.382","-0.17%"
"04/01/2024","5.381","5.396","5.429","5.393","0.24%"
"03/28/2024","5.368","5.389","5.467","5.370","0.28%"
"03/27/2024","5.353","5.412","5.468","5.363","-0.21%"
"03/26/2024","5.364","5.426","5.487","5.377","-0.17%"
"03/25/2024","5.373","5.404","5.404","5.380","0.09%"
"03/22/2024","5.368","5.386","5.386","5.381","0.06%"
"03/21/2024","5.365","5.465","5.465","5.375","-0.17%"
"03/20/2024","5.374","5.419","5.435","5.376","-0.15%"
"03/19/2024","5.382","5.418","5.494","5.394","-0.07%"
"03/18/2024","5.386","5.459","5.459","5.390","0.09%"
"03/15/2024","5.381","5.411","5.547","5.391","0.30%"
"03/14/2024","5.365","5.404","5.472","5.378","-0.02%"
"03/13/2024","5.366","5.394","5.470","5.378","-0.02%"
"03/12/2024","5.367","5.405","5.466","5.379","-0.02%"
"03/11/2024","5.368","5.400","5.400","5.380","-0.09%"
"03/08/2024","5.373","5.406","5.409","5.388","0.28%"
"03/07/2024","5.358","5.401","5.470","5.372","-0.15%"
"03/06/2024","5.366","5.402","5.424","5.371","0.07%"
"03/05/2024","5.362","5.426","5.443","5.374","-0.24%"
"03/04/2024","5.375","5.400","5.400","5.388","-0.06%"
"03/01/2024","5.378","5.411","5.411","5.391","-0.37%"
"02/29/2024","5.398","5.419","5.485","5.393","0.07%"
"02/28/2024","5.394","5.448","5.494","5.394","-0.15%"
"02/27/2024","5.402","5.421","5.512","5.400","0.04%"
"02/26/2024","5.400","5.400","5.411","5.398","0.04%"
"02/23/2024","5.398","5.398","5.414","5.396","0.09%"
"02/22/2024","5.393","5.409","5.493","5.393","-0.06%"
"02/21/2024","5.396","5.415","5.488","5.389","0.07%"
"02/20/2024","5.392","5.405","5.471","5.389","-0.44%"
"02/19/2024","5.416","5.416","5.416","5.416","0.48%"
"02/16/2024","5.390","5.390","5.393","5.388","0.22%"
"02/15/2024","5.378","5.427","5.437","5.375","-0.06%"
"02/14/2024","5.381","5.433","5.465","5.376","-0.02%"
"02/13/2024","5.382","5.452","5.487","5.377","-0.15%"
"02/12/2024","5.390","5.408","5.408","5.388","0.00%"
"02/09/2024","5.390","5.419","5.419","5.388","0.22%"
"02/08/2024","5.378","5.386","5.475","5.372","-0.06%"
"02/07/2024","5.381","5.389","5.478","5.376","0.04%"
"02/06/2024","5.379","5.403","5.487","5.379","-0.20%"
"02/05/2024","5.390","5.408","5.685","5.388","0.00%"
